name,ingredients,instructions
Spaghetti Aglio e Olio,"Spaghetti, Olive oil, Garlic, Red pepper flakes, Parsley, Salt","1. Boil spaghetti until al dente. 2. Heat olive oil in a pan. 3. Add sliced garlic and sauté until golden. 4. Add red pepper flakes. 5. Toss spaghetti in the oil mixture. 6. Garnish with parsley and serve."
Vegetable Stir Fry,"Mixed vegetables, Soy sauce, Garlic, Ginger, Sesame oil, Salt, Pepper","1. Chop vegetables into bite-sized pieces. 2. Heat sesame oil in a wok. 3. Add garlic and ginger, sauté for 30 seconds. 4. Add vegetables and stir-fry for 5 minutes. 5. Add soy sauce and season with salt and pepper. 6. Serve hot."
Chicken Curry,"Chicken, Onion, Tomato, Ginger-garlic paste, Curry powder, Salt, Oil","1. Heat oil in a pan. 2. Sauté chopped onions until golden. 3. Add ginger-garlic paste and cook for 1 minute. 4. Add chopped tomatoes and cook until soft. 5. Add curry powder and stir well. 6. Add chicken pieces and cook for 15-20 minutes. 7. Season with salt and serve."
Pancakes,"Flour, Sugar, Baking powder, Milk, Egg, Butter, Salt","1. Mix flour, sugar, baking powder, and salt in a bowl. 2. In another bowl, whisk milk, egg, and melted butter. 3. Combine wet and dry ingredients. 4. Heat a non-stick pan and pour batter. 5. Cook until bubbles form, then flip. 6. Serve with syrup."
Mango Smoothie,"Mango, Yogurt, Honey, Milk","1. Peel and chop mangoes. 2. Add mango, yogurt, honey, and milk to a blender. 3. Blend until smooth. 4. Serve chilled."
Caesar Salad,"Romaine lettuce, Croutons, Parmesan, Caesar dressing","1. Chop romaine lettuce. 2. Add croutons and grated parmesan. 3. Drizzle Caesar dressing. 4. Toss and serve."
Chocolate Cake,"Flour, Cocoa powder, Sugar, Eggs, Milk, Baking powder, Butter","1. Preheat oven to 180°C. 2. Mix dry ingredients in a bowl. 3. Whisk eggs, milk, and melted butter separately. 4. Combine wet and dry mixtures. 5. Pour batter into a greased tin. 6. Bake for 30 minutes. 7. Cool before serving."
Tomato Soup,"Tomatoes, Onion, Garlic, Vegetable broth, Salt, Pepper","1. Heat oil in a pan. 2. Sauté chopped onions and garlic. 3. Add chopped tomatoes and cook for 5 minutes. 4. Pour in vegetable broth and simmer for 15 minutes. 5. Blend until smooth. 6. Season with salt and pepper. 7. Serve hot."
Egg Fried Rice,"Cooked rice, Egg, Soy sauce, Spring onion, Oil, Salt, Pepper","1. Heat oil in a wok. 2. Scramble eggs and set aside. 3. Add cooked rice to the wok. 4. Stir in soy sauce, salt, and pepper. 5. Mix scrambled eggs and spring onions. 6. Serve hot."
Grilled Cheese Sandwich,"Bread, Cheese, Butter","1. Butter one side of each bread slice. 2. Place cheese between slices (buttered side out). 3. Heat pan and grill until golden brown. 4. Flip and repeat. 5. Serve hot."
Tandoori Chicken,"Chicken, Yogurt, Tandoori masala, Lemon juice, Salt","1. Marinate chicken with yogurt, tandoori masala, lemon juice, and salt. 2. Keep for at least 2 hours. 3. Preheat oven to 200°C. 4. Grill chicken for 25-30 minutes. 5. Serve with salad."
Veg Pulao,"Basmati rice, Mixed vegetables, Onion, Ginger-garlic paste, Spices, Salt","1. Wash and soak rice for 20 minutes. 2. Heat oil in a pan. 3. Sauté onions and ginger-garlic paste. 4. Add vegetables and spices. 5. Add rice and water. 6. Cook until done. 7. Serve hot."
Fish Tacos,"Fish fillets, Tortillas, Cabbage, Lime, Mayonnaise, Spices","1. Season fish fillets with spices. 2. Grill or pan-fry until cooked. 3. Mix shredded cabbage with mayonnaise and lime juice. 4. Place fish and cabbage mix in tortillas. 5. Serve immediately."
Paneer Butter Masala,"Paneer, Tomato puree, Cream, Onion, Butter, Spices","1. Heat butter in a pan. 2. Sauté onions until soft. 3. Add tomato puree and cook for 5 minutes. 4. Stir in spices. 5. Add paneer cubes and cream. 6. Simmer for 5 minutes. 7. Serve with naan."
Avocado Toast,"Bread, Avocado, Salt, Pepper, Lemon juice","1. Toast bread slices. 2. Mash avocado with salt, pepper, and lemon juice. 3. Spread mixture on toast. 4. Serve immediately."
Dal Tadka,"Lentils, Onion, Tomato, Garlic, Cumin, Spices, Ghee","1. Boil lentils until soft. 2. Heat ghee in a pan. 3. Sauté cumin seeds, garlic, onions, and tomatoes. 4. Add cooked lentils and spices. 5. Simmer for 5 minutes. 6. Serve with rice."
Greek Salad,"Cucumber, Tomato, Onion, Feta cheese, Olives, Olive oil","1. Chop cucumber, tomato, and onion. 2. Add feta cheese and olives. 3. Drizzle olive oil. 4. Toss and serve."
Omelette,"Eggs, Onion, Tomato, Salt, Pepper, Oil","1. Beat eggs with salt and pepper. 2. Heat oil in a pan. 3. Add onions and tomatoes, cook for 2 minutes. 4. Pour egg mixture. 5. Cook until set. 6. Serve hot."
Fruit Salad,"Seasonal fruits, Honey, Lemon juice","1. Chop seasonal fruits. 2. Drizzle honey and lemon juice. 3. Mix well. 4. Serve chilled."
